urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:adc0,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:air_temperature
2014-02-23T14:30:21.000719+05:30,92,29.6484375
2014-02-23T14:46:22.183136+05:30,80,25.78125
2014-02-23T15:02:23.616310+05:30,73,23.52539063
2014-02-23T15:18:24.743285+05:30,84,27.0703125
2014-02-23T15:34:26.228263+05:30,80,25.78125
2014-02-23T15:50:27.499354+05:30,75,24.16992188
2014-02-23T16:06:28.612199+05:30,82,26.42578125
2014-02-23T16:22:29.701846+05:30,79,25.45898438
2014-02-23T16:38:30.808891+05:30,75,24.16992188
2014-02-23T16:54:32.407402+05:30,74,23.84765625
2014-02-23T17:10:33.588649+05:30,73,23.52539063
2014-02-23T17:26:34.690804+05:30,72,23.203125
2014-02-23T17:42:35.940824+05:30,71,22.88085938
2014-02-23T17:58:36.940344+05:30,72,23.203125
2014-02-23T18:14:37.956124+05:30,71,22.88085938
2014-02-23T18:30:38.896982+05:30,71,22.88085938
2014-02-23T18:46:39.928981+05:30,69,22.23632813
2014-02-23T19:02:41.077087+05:30,67,21.59179688
2014-02-23T19:18:42.110264+05:30,64,20.625
2014-02-23T19:34:43.111318+05:30,62,19.98046875
2014-02-23T19:50:44.375812+05:30,65,20.94726563
2014-02-23T20:06:45.488738+05:30,63,20.30273438
2014-02-23T20:22:46.591718+05:30,62,19.98046875
2014-02-23T20:38:47.615208+05:30,62,19.98046875
2014-02-23T21:10:52.106290+05:30,62,19.98046875
2014-02-23T21:26:53.219685+05:30,59,19.01367188
2014-02-23T21:42:54.344859+05:30,58,18.69140625
2014-02-23T21:58:55.370075+05:30,59,19.01367188
2014-02-23T22:14:56.321895+05:30,57,18.36914063
2014-02-23T22:30:57.462180+05:30,59,19.01367188
2014-02-23T22:46:58.564073+05:30,58,18.69140625
2014-02-23T23:02:59.705802+05:30,56,18.046875
2014-02-23T23:19:00.901625+05:30,55,17.72460938
2014-02-23T23:35:02.366096+05:30,54,17.40234375
2014-02-23T23:51:03.541873+05:30,55,17.72460938
2014-02-24T00:07:04.516239+05:30,55,17.72460938
2014-02-24T00:23:05.450669+05:30,54,17.40234375
2014-02-24T00:39:06.461686+05:30,57,18.36914063
2014-02-24T00:55:07.512957+05:30,56,18.046875
2014-02-24T01:11:08.790309+05:30,54,17.40234375
2014-02-24T01:27:09.810726+05:30,55,17.72460938
2014-02-24T01:43:10.976545+05:30,55,17.72460938
2014-02-24T01:59:12.099665+05:30,54,17.40234375
2014-02-24T02:15:13.518314+05:30,53,17.08007813
2014-02-24T02:31:14.624349+05:30,55,17.72460938
2014-02-24T02:47:15.812963+05:30,55,17.72460938
2014-02-24T03:03:17.182194+05:30,54,17.40234375
2014-02-24T03:19:18.283353+05:30,54,17.40234375
2014-02-24T03:35:19.439911+05:30,55,17.72460938
2014-02-24T03:51:20.619922+05:30,55,17.72460938
2014-02-24T04:07:21.731147+05:30,54,17.40234375
2014-02-24T04:23:22.908198+05:30,53,17.08007813
2014-02-24T04:39:23.902703+05:30,53,17.08007813
2014-02-24T04:55:24.950706+05:30,54,17.40234375
2014-02-24T05:11:26.074663+05:30,54,17.40234375
2014-02-24T05:27:27.277916+05:30,54,17.40234375
2014-02-24T05:43:28.233882+05:30,54,17.40234375
2014-02-24T05:59:29.350418+05:30,53,17.08007813
2014-02-24T06:15:34.281115+05:30,52,16.7578125
2014-02-24T06:31:35.337602+05:30,52,16.7578125
2014-02-24T06:47:36.475662+05:30,53,17.08007813
2014-02-24T07:03:37.666579+05:30,54,17.40234375
2014-02-24T07:19:38.754738+05:30,55,17.72460938
2014-02-24T07:35:39.610392+05:30,59,19.01367188
2014-02-24T07:51:40.680827+05:30,65,20.94726563
2014-02-24T08:07:41.927202+05:30,65,20.94726563
2014-02-24T08:23:43.272802+05:30,63,20.30273438
2014-02-24T08:39:44.600287+05:30,67,21.59179688
2014-02-24T08:55:45.815218+05:30,73,23.52539063
2014-02-24T09:11:46.845299+05:30,72,23.203125
2014-02-24T09:27:48.075639+05:30,73,23.52539063
2014-02-24T09:43:49.253878+05:30,73,23.52539063
2014-02-24T09:59:50.383608+05:30,74,23.84765625
2014-02-24T10:15:51.475193+05:30,84,27.0703125
2014-02-24T10:31:52.597167+05:30,90,29.00390625
2014-02-24T10:47:53.871784+05:30,91,29.32617188
2014-02-24T11:03:54.905318+05:30,93,29.97070313
2014-02-24T11:19:55.845432+05:30,93,29.97070313
2014-02-24T11:35:56.905529+05:30,94,30.29296875
2014-02-24T11:51:58.309077+05:30,95,30.61523438
2014-02-24T12:07:59.517197+05:30,95,30.61523438
2014-02-24T12:24:00.725198+05:30,98,31.58203125
2014-02-24T12:40:01.859887+05:30,96,30.9375
2014-02-24T12:56:03.025815+05:30,97,31.25976563
2014-02-24T13:12:04.134840+05:30,98,31.58203125
2014-02-24T13:28:05.212227+05:30,98,31.58203125
2014-02-24T13:44:06.396430+05:30,99,31.90429688
2014-02-24T14:00:07.559209+05:30,100,32.2265625
2014-02-24T14:16:08.767136+05:30,97,31.25976563
2014-02-24T14:32:09.900799+05:30,98,31.58203125
2014-02-24T14:48:11.116312+05:30,100,32.2265625
2014-02-24T15:04:12.211389+05:30,97,31.25976563
2014-02-24T15:20:14.409418+05:30,97,31.25976563
2014-02-24T15:36:15.384550+05:30,97,31.25976563
2014-02-24T15:52:16.813137+05:30,94,30.29296875
2014-02-24T16:08:18.179230+05:30,95,30.61523438
2014-02-24T16:24:19.770664+05:30,94,30.29296875
2014-02-24T16:40:21.004152+05:30,93,29.97070313
2014-02-24T16:56:21.973913+05:30,92,29.6484375
2014-02-24T17:12:23.152360+05:30,89,28.68164063
2014-02-24T17:28:24.356098+05:30,87,28.03710938
2014-02-24T17:44:25.606634+05:30,83,26.74804688
2014-02-24T18:00:26.718307+05:30,79,25.45898438
2014-02-24T18:16:28.067534+05:30,77,24.81445313
2014-02-24T18:32:29.628224+05:30,74,23.84765625
2014-02-24T18:48:30.778988+05:30,71,22.88085938
2014-02-24T19:04:32.060142+05:30,71,22.88085938
2014-02-24T19:20:33.250341+05:30,69,22.23632813
